short_name,long_name,age,nationality_name,club_name,player_positions,overall,potential,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physic,height_cm,weight_kg,preferred_foot
Anderson Talisca,Anderson Souza Conceição,31,Brazil,Fenerbahçe SK,"CAM, ST, RW, CM",81,81,21500000,66000,76.0,86.0,80.0,81.0,45.0,74.0,191,75,Left
C. Baleba,Carlos Noom Quomah Baleba,21,Cameroon,Brighton & Hove Albion,"CDM, CM",81,87,38000000,70000,74.0,70.0,75.0,80.0,79.0,79.0,183,77,Left
N. Stanciu,Nicolae Claudiu Stanciu,32,Romania,Genoa,"CM, CAM",77,77,8500000,26000,76.0,74.0,79.0,78.0,62.0,71.0,170,70,Right
X. Simons,Xavier Quentin Shay Simons,22,Netherlands,Tottenham Hotspur,"CAM, LM, ST",84,87,58500000,125000,77.0,77.0,80.0,87.0,61.0,70.0,179,58,Right
C. Biraghi,Cristiano Biraghi,32,Italy,Torino,"LB, LM",78,78,9500000,40000,72.0,69.0,78.0,76.0,76.0,71.0,185,78,Left
G. Xhaka,Granit Xhaka,32,Switzerland,Sunderland,"CDM, CM",85,85,36000000,105000,47.0,75.0,85.0,74.0,78.0,82.0,186,80,Left
P. Dybala,Paulo Bruno Exequiel Dybala,31,Argentina,Roma,"CAM, ST",86,86,56500000,105000,80.0,85.0,84.0,87.0,41.0,64.0,177,75,Left
C. Pulisic,Christian Mate Pulišić,26,United States,AC Milan,"RW, RM, CAM",84,84,46000000,79000,88.0,82.0,80.0,86.0,46.0,65.0,178,73,Right
L. Advíncula,Luis Jan Piers Advíncula Castrillón,35,Peru,Boca Juniors,"RB, RM",75,75,1700000,14000,92.0,69.0,70.0,74.0,68.0,86.0,180,80,Right
S. Mané,Sadio Mané,33,Senegal,Al Nassr,"LM, RM, ST, LW",83,83,22500000,64000,82.0,81.0,78.0,85.0,44.0,75.0,174,69,Right
Iñaki Williams,Iñaki Williams Arthuer,31,Ghana,Athletic Club,"RM, ST, RW",83,83,30000000,64000,94.0,81.0,74.0,80.0,45.0,84.0,186,80,Right
C. Puertas,Cameron Mitchel Puertas Castro,26,Spain,SV Werder Bremen,"CAM, CM",78,79,16500000,38000,74.0,75.0,79.0,79.0,69.0,76.0,178,74,Right
J. Clauss,Jonathan Clauss,32,France,OGC Nice,"RB, RM",80,80,14500000,34000,85.0,69.0,76.0,78.0,73.0,69.0,178,69,Right
M. Kerkez,Milos KerkezМилош Керкез,21,Hungary,Liverpool,"LB, LM",82,86,41500000,81000,87.0,59.0,75.0,78.0,77.0,80.0,180,71,Left
K. Koné,Kouadio Emmanuel Boris Koné,24,France,Roma,CM,79,84,26500000,49000,74.0,74.0,75.0,81.0,74.0,82.0,185,80,Right
T. Teuma,Teddy Teuma,31,Malta,Stade de Reims,"CAM, CM",75,75,4700000,10000,67.0,77.0,77.0,76.0,72.0,75.0,176,73,Left
Mingueza,Óscar Mingueza García,26,Spain,RC Celta,"RB, RM, LM",80,83,25500000,34000,80.0,66.0,77.0,77.0,76.0,76.0,184,75,Right
H. Son,Heung-min Son손흥민 孙兴慜,32,Korea Republic,Los Angeles FC,"LW, ST, LM",85,85,43000000,21000,84.0,84.0,81.0,83.0,42.0,73.0,183,78,Right
N. Kanté,N'Golo Kanté,34,France,Al Ittihad,"CDM, CM",85,85,18500000,74000,77.0,65.0,73.0,80.0,85.0,79.0,168,70,Right
K. Walker,Kyle Andrew Walker,35,England,Burnley,"RB, RM",79,79,5500000,48000,80.0,64.0,75.0,76.0,77.0,78.0,183,83,Right
Parejo,Daniel Parejo Muñoz,36,Spain,Villarreal CF,"CM, CDM",82,82,9500000,41000,39.0,80.0,87.0,78.0,74.0,67.0,182,74,Right
M. O'Riley,Matthew Sean O'Riley,24,Denmark,Olympique de Marseille,"CAM, CM",78,83,21000000,72000,68.0,78.0,79.0,76.0,67.0,73.0,188,77,Left
L. Díaz,Luis Fernando Díaz Marulanda,28,Colombia,FC Bayern München,"LM, LW, ST",85,85,54500000,100000,88.0,81.0,76.0,87.0,45.0,75.0,180,73,Right
N. Amiri,Nadiem Amiri,28,Germany,1. FSV Mainz 05,"CM, CAM",81,81,25500000,40000,65.0,79.0,82.0,82.0,62.0,72.0,180,76,Right
M. Kovačić,Mateo Kovačić,31,Croatia,Manchester City,"CM, CDM, CAM",83,83,30000000,150000,67.0,74.0,81.0,83.0,73.0,72.0,178,77,Right
F. Ugrinić,Filip Ugrinić,26,Switzerland,Valencia CF,"CM, CAM, CDM",75,78,7500000,32000,77.0,73.0,74.0,75.0,69.0,85.0,184,88,Right
O. Pineda,Orbelín Pineda Alvarado,29,Mexico,AEK Athens,"CAM, CM, RB",77,77,10500000,31000,81.0,74.0,72.0,81.0,68.0,69.0,170,65,Right
L. Paredes,Leandro Daniel Paredes,31,Argentina,Boca Juniors,"CM, CDM",78,78,11500000,23000,62.0,70.0,82.0,79.0,72.0,74.0,182,75,Right
P. Foden,Philip Walter Foden,25,England,Manchester City,"RW, CM, LW, RM",85,88,71500000,180000,81.0,81.0,82.0,89.0,57.0,57.0,171,70,Left
Matheus Nunes,Matheus Luiz Nunes,26,Portugal,Manchester City,"RB, CM, RM",79,80,19000000,105000,85.0,70.0,76.0,79.0,73.0,76.0,184,78,Right
İ. Gündoğan,İlkay Gündoğan,34,Germany,Galatasaray SK,"CM, CDM, CAM",83,83,16500000,77000,54.0,79.0,83.0,80.0,74.0,67.0,180,80,Right
W. Zaïre-Emery,Warren Zaïre-Emery,19,France,Paris Saint-Germain,"CM, CDM, CAM",80,87,41000000,58000,79.0,68.0,76.0,79.0,75.0,79.0,178,68,Right
Luis Milla,Luis Milla Manzanares,30,Spain,Getafe CF,"CM, CDM",79,79,17000000,40000,69.0,72.0,80.0,76.0,75.0,73.0,175,67,Right
S. Al Dawsari,Salem Al Dawsariسالم الدوسري,33,Saudi Arabia,Al Hilal,"LM, LW",82,82,19000000,59000,87.0,75.0,75.0,84.0,57.0,81.0,173,71,Right
L. Sučić,Luka Sučić,22,Croatia,Real Sociedad,"CM, CAM",78,86,31500000,34000,76.0,76.0,78.0,77.0,68.0,72.0,185,71,Left
R. Malinovskyi,Ruslan MalinovskyiМаліновський Руслан Володимирович,32,Ukraine,Genoa,"CM, CAM, CDM",76,76,6000000,24000,66.0,78.0,79.0,76.0,63.0,73.0,181,79,Left
C. Gakpo,Cody Mathès Gakpo,26,Netherlands,Liverpool,"LM, LW",84,85,49500000,140000,83.0,82.0,80.0,83.0,47.0,74.0,189,76,Right
Sergio Gómez,Sergio Gómez Martín,24,Spain,Real Sociedad,"LM, CM, LB",79,82,24000000,37000,73.0,74.0,80.0,79.0,71.0,65.0,173,71,Left
M. Shaparenko,Mykola ShaparenkoШапаренко Микола Володимирович,26,Ukraine,Dynamo Kyiv,"CM, CAM, CDM",78,79,16500000,25000,79.0,71.0,79.0,79.0,68.0,71.0,178,72,Right
Andrey Santos,Andrey Nascimento dos Santos,21,Brazil,Chelsea,"CM, CDM",80,87,42500000,86000,74.0,69.0,74.0,78.0,77.0,80.0,180,75,Right
Johnny Cardoso,João Lucas de Souza Cardoso,23,United States,Atlético Madrid,"CDM, CM",81,87,37500000,60000,72.0,67.0,76.0,78.0,80.0,77.0,182,78,Right
O. Watkins,Oliver George Arthur Watkins,29,England,Aston Villa,ST,84,84,42000000,170000,77.0,83.0,73.0,80.0,50.0,80.0,180,70,Right
M. Olise,Michael Akpovie Olise,23,France,FC Bayern München,"RM, RW",86,88,88000000,95000,78.0,80.0,84.0,87.0,50.0,66.0,184,73,Left
D. Zappacosta,Davide Zappacosta,33,Italy,Atalanta,"LM, RM, LB",79,79,11000000,69000,76.0,73.0,77.0,77.0,76.0,69.0,182,75,Right
J. Henderson,Jordan Brian Henderson,35,England,Brentford,"CDM, CM",79,79,4900000,56000,65.0,71.0,80.0,74.0,75.0,77.0,182,80,Right
Zubimendi,Martín Zubimendi Ibáñez,26,Spain,Arsenal,"CDM, CM",83,87,45500000,150000,66.0,68.0,79.0,79.0,80.0,73.0,180,74,Right
A. Cambiaso,Andrea Cambiaso,25,Italy,Juventus,"LB, RB, LM",79,82,21500000,95000,78.0,70.0,77.0,79.0,75.0,70.0,182,77,Left
A. Robertson,Andrew Henry Robertson,31,Scotland,Liverpool,"LB, LM",82,82,22000000,115000,74.0,61.0,80.0,77.0,79.0,75.0,178,64,Left
F. Mendy,Ferland Sinna Mendy,30,France,Real Madrid,"LB, LM",81,81,22000000,170000,85.0,64.0,74.0,75.0,78.0,84.0,180,73,Left
D. Muñoz,Daniel Muñoz Mejía,29,Colombia,Crystal Palace,"RB, RM",81,81,22500000,95000,75.0,69.0,72.0,76.0,79.0,81.0,181,73,Right
R. Bensebaini,Ramy Bensebainiرامي بن سبعيني,30,Algeria,Borussia Dortmund,"LB, CB, LM",79,79,15000000,49000,73.0,70.0,70.0,77.0,78.0,79.0,187,82,Left
M. Camara,Mohamed Mady Camara,28,Guinea,PAOK,"CM, CDM",74,74,4200000,27000,74.0,74.0,72.0,73.0,75.0,83.0,182,75,Right
P. Zieliński,Piotr Sebastian Zieliński,31,Poland,Inter,CM,80,80,17500000,39000,76.0,76.0,80.0,82.0,70.0,59.0,180,75,Right
E. Eze,Eberechi Oluchi Eze,27,England,Arsenal,"CAM, LW, ST",83,84,42000000,160000,74.0,80.0,81.0,87.0,50.0,68.0,178,67,Right
Matheus Cunha,Matheus Santos Carneiro da Cunha,26,Brazil,Manchester United,"CAM, LW, ST",83,85,45000000,115000,77.0,85.0,79.0,84.0,44.0,75.0,183,76,Right
N. Deossa,Nelson Alexander Deossa Suárez,25,Colombia,Real Betis Balompié,"CM, CDM, CAM",75,80,8000000,24000,75.0,76.0,72.0,74.0,72.0,80.0,185,74,Left
D. Hancko,Dávid Hancko,27,Slovakia,Atlético Madrid,"CB, LB, LM",83,85,38500000,82000,77.0,66.0,73.0,74.0,82.0,82.0,188,82,Left
Isco,Francisco Román Alarcón Suárez,33,Spain,Real Betis Balompié,"CAM, LM, CM",84,84,26500000,52000,66.0,79.0,85.0,85.0,59.0,60.0,176,79,Right
Ander Herrera,Ander Herrera Agüera,35,Spain,Boca Juniors,"CDM, CM",78,78,4000000,16000,59.0,71.0,76.0,77.0,77.0,74.0,182,71,Right
Z. Tripić,Zlatko Hovland Tripić,32,Norway,Viking FK,"RW, LW, RM",76,76,6000000,7000,84.0,76.0,74.0,75.0,56.0,83.0,182,74,Right
Malcom,Malcom Filipe Silva de Oliveira,28,Brazil,Al Hilal,"CAM, RM, LM, CM",82,82,30500000,60000,89.0,78.0,79.0,84.0,43.0,73.0,172,74,Left
E. Sánchez,Erick Daniel Sánchez Ocegueda,25,Mexico,,"CM, CDM",78,81,0,0,74.0,75.0,77.0,73.0,75.0,72.0,167,71,Right
N. Rovella,Nicolò Rovella,23,Italy,Lazio,"CDM, CM",79,84,24500000,31000,76.0,63.0,77.0,78.0,75.0,71.0,179,70,Right
K. Taylor,Kenneth Ina Dorothea Taylor,23,Netherlands,Ajax,"CM, CAM",78,84,22000000,18000,73.0,77.0,78.0,78.0,67.0,74.0,182,73,Left
Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,29,Brazil,Botafogo,"CAM, RM, CM",83,83,35500000,47000,88.0,77.0,83.0,84.0,35.0,72.0,177,75,Right
M. Folorunsho,Michael Ijemuan Folorunsho,27,Italy,Cagliari,"CAM, CM, ST",75,75,6000000,69000,73.0,76.0,73.0,74.0,71.0,76.0,185,78,Right
R. Christie,Ryan Christie,30,Scotland,AFC Bournemouth,"CDM, CM, CAM",79,79,14500000,75000,69.0,70.0,77.0,78.0,74.0,76.0,178,70,Left
Fornals,Pablo Fornals Malla,29,Spain,Real Betis Balompié,"CDM, CM, RM",79,79,15000000,33000,65.0,75.0,80.0,80.0,73.0,71.0,178,67,Right
Lucas Vázquez,Lucas Vázquez Iglesias,34,Spain,Bayer 04 Leverkusen,"RB, RM",77,77,3900000,62000,76.0,74.0,80.0,79.0,70.0,67.0,173,69,Right
A. Bah,Alexander Hartmann Bah,27,Denmark,SL Benfica,"RB, RM",78,79,15000000,20000,90.0,65.0,72.0,75.0,73.0,81.0,183,76,Right
A. Golovin,Aleksandr GolovinГоловин Александр Сергеевич,29,Russia,AS Monaco,"LM, CAM, LW",79,79,17000000,38000,73.0,76.0,79.0,82.0,61.0,66.0,178,69,Right
Gerson Armão,Gérson Adriano Gutierres Serra,25,Brazil,Internacional,"LB, LM",78,78,14000000,26000,79.0,67.0,71.0,71.0,74.0,79.0,186,73,Left
Rodinei,Rodinei Marcelo de Almeida,33,Brazil,Olympiacos FC,"RB, RM",79,79,9000000,37000,81.0,66.0,73.0,79.0,74.0,77.0,177,70,Right
S. Lobotka,Stanislav Lobotka,30,Slovakia,Napoli,"CM, CDM",83,83,34500000,125000,71.0,69.0,80.0,82.0,76.0,71.0,170,68,Right
D. Zakaria,Denis Lemi Zakaria Lako Lado,28,Switzerland,AS Monaco,"CDM, CM",82,83,29500000,45000,80.0,67.0,74.0,77.0,80.0,85.0,190,81,Right
S. Ascacíbar,Santiago Lionel Ascacíbar,28,Argentina,Estudiantes de La Plata,"CDM, CM",78,78,12500000,18000,78.0,73.0,72.0,75.0,74.0,74.0,169,68,Right
M. Damsgaard,Mikkel Krogh Damsgaard,24,Denmark,Brentford,"CAM, CM",80,83,29000000,71000,68.0,73.0,82.0,81.0,66.0,67.0,180,70,Right
E. Skhiri,Ellyes Joris Skhiriإلياس صخيري,30,Tunisia,Eintracht Frankfurt,"CDM, CM",80,80,17500000,39000,64.0,73.0,74.0,75.0,80.0,74.0,185,74,Right
F. Schär,Fabian Lukas Schär,33,Switzerland,Newcastle United,CB,82,82,14500000,135000,51.0,68.0,76.0,73.0,84.0,80.0,188,84,Right
N. Schlotterbeck,Nico Cedric Schlotterbeck,25,Germany,Borussia Dortmund,CB,85,88,63500000,72000,74.0,60.0,75.0,73.0,85.0,82.0,191,86,Left
L. Messi,Lionel Andrés Messi Cuccitini,38,Argentina,Inter Miami,"RW, ST, CAM, RM",86,86,22000000,17000,78.0,85.0,85.0,90.0,33.0,64.0,169,67,Left
R. Rodríguez,Ricardo Iván Rodríguez Araya,32,Switzerland,Real Betis Balompié,"LB, CB, LM",74,74,2900000,23000,66.0,69.0,78.0,74.0,70.0,72.0,180,78,Left
E. Buendía,Emiliano Buendía Stati,28,Argentina,Aston Villa,"CAM, LM, RM, CM",77,77,10500000,90000,66.0,74.0,78.0,81.0,66.0,66.0,172,72,Right
L. Suárez,Luis Alberto Suárez Díaz,38,Uruguay,Inter Miami,"ST, CAM",79,79,6000000,10000,53.0,82.0,74.0,76.0,41.0,75.0,182,86,Right
A. Gordon,Anthony Michael Gordon,24,England,Newcastle United,"LW, RW, LM",83,86,49500000,135000,91.0,79.0,78.0,83.0,50.0,72.0,183,72,Right
T. Lemar,Thomas Lemar,29,France,Girona FC,"CM, LM",77,77,10500000,57000,72.0,75.0,79.0,80.0,67.0,59.0,171,63,Left
V. van Dijk,Virgil van Dijk,33,Netherlands,Liverpool,CB,90,90,57000000,230000,73.0,60.0,72.0,72.0,90.0,87.0,193,92,Right
R. Perraud,Romain Paul Jean-Michel Perraud,27,France,Lille OSC,"LB, LM",74,75,4400000,23000,72.0,75.0,76.0,75.0,68.0,71.0,173,68,Left
C. Jones,Curtis Jones,24,England,Liverpool,"CAM, CM, CDM",80,83,29000000,89000,74.0,74.0,76.0,82.0,72.0,76.0,185,75,Right
M. Pašalić,Mario Pašalić,30,Croatia,Atalanta,"CM, CAM",80,80,20000000,73000,69.0,78.0,77.0,81.0,67.0,76.0,186,80,Right
N. Nández,Nahitan Michel Nández Acosta,29,Uruguay,Al Qadsiah FC,"CM, RB, RM, CAM",76,76,7500000,34000,81.0,61.0,74.0,78.0,71.0,81.0,172,70,Right
Ruiz de Galarreta,Iñigo Ruiz de Galarreta Etxeberria,31,Spain,Athletic Club,"CDM, CM",80,80,15000000,49000,69.0,65.0,77.0,79.0,76.0,76.0,175,69,Right
A. Gomes,Adilson Angel Abreu de Almeida Gomes,24,England,Olympique de Marseille,"CAM, CM, CDM",76,81,11500000,31000,69.0,70.0,75.0,79.0,72.0,67.0,166,62,Right
O. Tufan,Ozan Tufan,30,Türkiye,Trabzonspor,"CDM, CAM, ST, CM",73,73,2500000,36000,75.0,76.0,71.0,74.0,70.0,79.0,184,88,Right
A. Engels,Arne Engels,21,Belgium,Celtic,"CM, CDM",75,84,12500000,34000,73.0,72.0,77.0,72.0,68.0,75.0,185,76,Right
D. Udogie,Iyenoma Destiny Udogie,22,Italy,Tottenham Hotspur,LB,80,84,28500000,84000,88.0,64.0,73.0,78.0,76.0,79.0,186,73,Left
Mauro Júnior,Mauro Jaqueson Junior Ferreira dos Santos,26,Brazil,PSV,"LB, CM, RB, LM",79,82,21000000,25000,83.0,66.0,76.0,81.0,73.0,59.0,171,62,Left
F. Kadıoğlu,Ferdi Erenay Kadıoğlu,25,Türkiye,Brighton & Hove Albion,"RB, LB, RM",79,81,20000000,81000,82.0,68.0,74.0,80.0,76.0,67.0,174,68,Right
G. Galoppo,Giuliano Galoppo,26,Argentina,River Plate,"CM, CAM",74,75,4900000,17000,73.0,75.0,72.0,74.0,70.0,73.0,180,78,Right
T. Pobega,Tommaso Pobega,25,Italy,Bologna,"CM, CDM",74,77,5500000,33000,74.0,76.0,70.0,75.0,74.0,74.0,188,75,Right
Y. Adli,Yacine Adliياسين عدلي,24,France,Al Shabab,"CDM, CM",78,83,19500000,28000,70.0,69.0,80.0,78.0,73.0,68.0,186,78,Right
J. Lerma,Jefferson Andrés Lerma Solís,30,Colombia,Crystal Palace,"CDM, CM, CB",77,77,9000000,71000,68.0,71.0,70.0,74.0,76.0,79.0,179,70,Right
R. Baku,Bote Ridle Nzuzi Baku,27,Germany,RB Leipzig,"RM, RB, RW",78,78,15000000,50000,81.0,72.0,73.0,81.0,71.0,75.0,176,79,Right
Evander,Evander da Silva Ferreira,27,Brazil,FC Cincinnati,"CAM, CM, ST",79,80,20000000,12000,72.0,77.0,78.0,81.0,66.0,69.0,178,73,Right
L. Majer,Lovro Majer,27,Croatia,VfL Wolfsburg,"CM, CAM, RM",78,79,16000000,46000,70.0,73.0,80.0,83.0,60.0,70.0,178,76,Left
O. Marmoush,Omar Khaled Mohamed Marmoush,26,Egypt,Manchester City,"ST, CAM, LW",84,85,50500000,175000,89.0,85.0,76.0,86.0,34.0,71.0,183,81,Right
A. Claude-Maurice,Alexis Claude-Maurice,27,France,FC Augsburg,"CAM, CM, LW",77,78,12000000,35000,75.0,74.0,73.0,81.0,68.0,66.0,175,62,Right
R. Bentancur,Rodrigo Bentancur Colmán,28,Uruguay,Tottenham Hotspur,"CDM, CM",80,81,20500000,100000,64.0,68.0,78.0,79.0,78.0,72.0,187,73,Right
L. Da Cunha,Lucas Da Cunha,24,France,Como,"CDM, CM, CAM",74,79,6000000,51000,77.0,71.0,73.0,79.0,71.0,63.0,176,69,Left
Pepelu,José Luis García Vayá,26,Spain,Valencia CF,"CM, CDM",77,78,12500000,36000,64.0,70.0,78.0,74.0,73.0,78.0,186,73,Right
O. Zinchenko,Oleksandr ZinchenkoЗінченко Олександр Володимирович,28,Ukraine,Nottingham Forest,LB,77,77,9500000,100000,63.0,66.0,79.0,78.0,76.0,62.0,175,64,Left
J. Stage,Jens Dalsgaard Stage,28,Denmark,SV Werder Bremen,"CM, CDM",78,78,14000000,32000,63.0,73.0,74.0,77.0,75.0,79.0,185,83,Right
T. Weah,Timothy Tarpeh Weah,25,United States,Olympique de Marseille,"RM, RB",77,78,12500000,86000,87.0,75.0,72.0,78.0,68.0,65.0,182,66,Right
İ. Kahveci,İrfan Can Kahveci,29,Türkiye,Fenerbahçe SK,"RW, CAM, CM, RM",78,78,14000000,55000,73.0,77.0,81.0,80.0,58.0,67.0,176,75,Left
L. Martínez,Lisandro Martínez,27,Argentina,Manchester United,CB,81,82,26000000,90000,67.0,59.0,75.0,75.0,81.0,80.0,178,77,Left
P. Pogba,Paul Labile Pogba,32,France,AS Monaco,"CM, CDM, CAM",79,79,14000000,38000,64.0,76.0,81.0,83.0,60.0,78.0,191,84,Right
M. Uribe,Andrés Mateus Uribe Villa,34,Colombia,Atlético Nacional,"CM, CDM",76,76,3500000,28000,72.0,74.0,74.0,75.0,74.0,74.0,182,78,Right
T. Partey,Thomas Teye Partey,32,Ghana,Villarreal CF,"CDM, CM, RB",83,83,24000000,57000,59.0,71.0,80.0,77.0,80.0,82.0,185,77,Right
Renan Lodi,Renan Augusto Lodi dos Santos,27,Brazil,Al Hilal,"LB, LM",78,79,15000000,40000,75.0,69.0,76.0,77.0,73.0,71.0,173,68,Left
J. Brownhill,Joshua Brownhill,29,England,Al Shabab,"CDM, CM, CAM",76,76,6500000,29000,66.0,75.0,74.0,74.0,72.0,77.0,180,69,Right
L. Robertone,Lucas Gastón Robertone,28,Argentina,UD Almería,"CM, CDM",72,72,2300000,7000,75.0,70.0,72.0,74.0,68.0,75.0,169,66,Right
M. Mittelstädt,Maximilian Mittelstädt,28,Germany,VfB Stuttgart,"LB, LM",82,82,27500000,53000,81.0,62.0,77.0,77.0,78.0,74.0,180,71,Left
Guga Rodrigues,Gonçalo Rosa Gonçalves Pereira Rodrigues,27,Portugal,Beijing Guoan,"CM, LM, CAM",74,74,4500000,19000,77.0,72.0,74.0,75.0,66.0,78.0,168,70,Right
Gayà,José Luis Gayà Peña,30,Spain,Valencia CF,"LB, LM",81,81,22000000,49000,80.0,61.0,76.0,77.0,77.0,72.0,172,66,Left
V. Pavlidis,Vangelis PavlidisΒαγγέλης Παυλίδης,26,Greece,SL Benfica,"ST, CAM",82,84,38000000,31000,79.0,82.0,71.0,80.0,47.0,82.0,186,80,Right
M. Meza,Maximiliano Eduardo Meza,32,Argentina,River Plate,"CM, LW, RW, LM",75,75,4400000,19000,73.0,72.0,74.0,78.0,69.0,73.0,180,75,Right
E. Gómez,Elías José Gómez,31,Argentina,Vélez Sarsfield,"LB, LM",73,73,2200000,13000,83.0,63.0,70.0,75.0,64.0,87.0,175,70,Left
L. Hall,Lewis Kieran Hall,20,England,Newcastle United,LB,80,86,30500000,81000,77.0,62.0,78.0,79.0,77.0,64.0,179,71,Left
Carlos Soler,Carlos Soler Barragán,28,Spain,Real Sociedad,"CM, CAM",77,77,10500000,38000,70.0,75.0,78.0,78.0,69.0,68.0,180,76,Right
N. Gudelj,Nemanja GudeljНемања Гудељ,33,Serbia,Sevilla FC,"CB, CDM",77,77,5000000,31000,46.0,73.0,78.0,69.0,76.0,84.0,187,79,Right
B. Heynen,Bryan Heynen,28,Belgium,KRC Genk,"CDM, CM, CAM",78,78,12500000,28000,60.0,73.0,75.0,76.0,73.0,78.0,183,74,Right
J. Cuadrado,Juan Guillermo Cuadrado Bello,37,Colombia,Pisa,"RM, RB, RW",76,76,2400000,9000,77.0,72.0,76.0,78.0,74.0,61.0,179,72,Right
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,40,Portugal,Al Nassr,ST,85,85,0,58000,76.0,88.0,76.0,80.0,34.0,76.0,187,85,Right
R. Aliendro,Rodrigo Germán Aliendro,34,Argentina,Vélez Sarsfield,"CM, CDM, CB",74,74,1900000,15000,70.0,71.0,72.0,78.0,69.0,75.0,173,72,Right
K. Dewsbury-Hall,Kiernan Frank Dewsbury-Hall,26,England,Everton,"CM, CAM, CDM",77,78,12500000,40000,66.0,72.0,77.0,78.0,70.0,71.0,176,80,Left
C. Zafeiris,Christos ZafeirisΧρήστος Ζαφείρης,22,Greece,SK Slavia Praha,"CM, CDM",75,82,11500000,23000,78.0,70.0,73.0,79.0,66.0,77.0,173,75,Right
D. Cataldi,Danilo Cataldi,30,Italy,Lazio,"CDM, CM",77,77,9000000,32000,68.0,71.0,77.0,77.0,73.0,69.0,180,70,Right
Andeson Trigo,Andeson Jaime Trigo Gonçalves,33,Brazil,Fluminense,"LB, LM, CAM",77,77,5500000,21000,82.0,63.0,75.0,77.0,71.0,65.0,175,68,Left
M. Götze,Mario Götze,33,Germany,Eintracht Frankfurt,"CM, CAM, RM, CDM",82,82,18500000,47000,60.0,75.0,85.0,85.0,56.0,67.0,176,72,Right
P. Frankowski,Przemysław Frankowski,30,Poland,Stade Rennais FC,"RB, RM",75,75,4800000,41000,87.0,71.0,74.0,75.0,69.0,71.0,175,70,Right
I. Toney,Ivan Benjamin Elijah Toney,29,England,Al Ahli SFC,ST,81,81,25500000,59000,78.0,82.0,71.0,75.0,51.0,81.0,187,76,Right
M. Casco,Milton Oscar Casco,37,Argentina,River Plate,"LB, RB, LM",74,74,925000,13000,75.0,67.0,73.0,77.0,69.0,74.0,170,69,Right
Diogo Dalot,José Diogo Dalot Teixeira,26,Portugal,Manchester United,"RB, LB, RM",79,81,20000000,80000,85.0,63.0,74.0,77.0,76.0,78.0,183,76,Right
M. Sanson,Morgan Sanson,30,France,OGC Nice,"CM, CAM",76,76,7000000,26000,62.0,73.0,77.0,76.0,70.0,74.0,180,73,Right
Ricardo Horta,Ricardo Jorge da Luz Horta,30,Portugal,Sporting Clube de Braga,"CAM, LM, RM, CM",81,81,25000000,23000,78.0,81.0,81.0,82.0,43.0,69.0,173,63,Right
C. De Ketelaere,Charles De Ketelaere,24,Belgium,Atalanta,"CAM, ST, CM",82,86,43500000,72000,70.0,79.0,80.0,83.0,56.0,68.0,192,79,Left
J. Bowen,Jarrod Bowen,28,England,West Ham United,"RM, ST, RW",83,83,36500000,100000,76.0,81.0,78.0,82.0,46.0,70.0,175,70,Left
D. Núñez,Darwin Gabriel Núñez Ribeiro,26,Uruguay,Al Hilal,ST,79,82,23000000,50000,88.0,79.0,72.0,76.0,49.0,82.0,187,81,Right
A. Castro-Montes,Alessio Daniel Castro-Montes,28,Belgium,1. FC Köln,"RM, LM, RB, RW",77,77,10500000,27000,74.0,72.0,74.0,75.0,71.0,72.0,175,67,Right
A. Colpani,Andrea Colpani,26,Italy,Monza,"RM, CAM, RW",78,78,15500000,7000,76.0,76.0,77.0,78.0,65.0,66.0,184,75,Left
J. Frimpong,Jeremie Agyekum Frimpong,24,Netherlands,Liverpool,"RB, RM, RW",83,85,43500000,105000,94.0,62.0,74.0,84.0,72.0,63.0,172,65,Right
A. Isak,Alexander Isak,25,Sweden,Liverpool,ST,88,89,111000000,200000,83.0,89.0,73.0,85.0,39.0,76.0,192,77,Right
Álvaro Carreras,Álvaro Fernández Carreras,22,Spain,Real Madrid,"LB, LM",80,88,45000000,130000,85.0,65.0,75.0,79.0,73.0,80.0,186,78,Left
C. Aquino,Claudio Ezequiel Aquino,33,Argentina,Colo-Colo,"CAM, CM",77,77,6500000,33000,76.0,76.0,75.0,81.0,47.0,72.0,172,70,Right
M. Politano,Matteo Politano,31,Italy,Napoli,"RW, RM",81,81,21500000,115000,80.0,78.0,80.0,83.0,59.0,55.0,171,65,Left
Marlon Dorrão,Marlon Wilson Dorrão Barni,29,Brazil,Vitória,"CDM, CM",68,68,1000000,7000,58.0,59.0,64.0,67.0,64.0,76.0,182,78,Right
Pedro Díaz,Pedro Díaz Fanjul,27,Spain,Rayo Vallecano,"CM, CDM, CAM",75,76,6500000,22000,66.0,76.0,76.0,74.0,69.0,73.0,180,78,Right
M. Bero,Matúš Bero,29,Slovakia,VfL Bochum 1848,"CM, CAM",74,74,4099999,14000,65.0,71.0,71.0,74.0,72.0,83.0,181,81,Right
A. Bakasetas,Anastasios BakasetasΑναστάσιος Μπακασέτας,32,Greece,Panathinaikos FC,"CAM, CM",76,76,6000000,25000,68.0,80.0,76.0,75.0,59.0,76.0,181,78,Left
Nuno Tavares,Nuno Albertino Varela Tavares,25,Portugal,Lazio,"LB, LM",78,81,17000000,31000,88.0,67.0,72.0,80.0,70.0,77.0,183,75,Left
